Ville,Type_Bien,Transaction,Surface,Prix_Annonce,Date,Titre
Casablanca,Bureau,A Vendre,55.0,480000.0,20/03/2026,Bureaux  3 pièces 55 m² Casablanca  « La Gironde »
Casablanca,Bureau,A Vendre,120.0,754000.0,10/02/2026,Bureaux  2 pièces 120 m² Casablanca  « Roches Noires »
Rabat,Bureau,A Vendre,230.0,3650000.0,12/03/2026,Bureaux   230 m² Rabat  « Agdal »
Tanger,Bureau,A Vendre,76.0,1450000.0,30/04/2026,Bureaux  1 pièces 76 m² Tanger  « Al Mandar Al Jamil »
Tanger,Bureau,A Vendre,123.0,3200000.0,22/04/2026,Bureaux meublé 3 pièces 123 m² Tanger
Tanger,Bureau,A Vendre,18.0,330000.0,10/02/2026,Bureaux   18 m² Tanger
Tanger,Bureau,A Vendre,160.0,1920000.0,10/02/2026,Bureaux  7 pièces 160 m² Tanger
Casablanca,Local_Commercial,A Vendre,80.0,950000.0,08/03/2026,Local commercial   80 m² Casablanca
Casablanca,Local_Commercial,A Vendre,141.0,3700000.0,26/02/2026,Local commercial   141 m² Casablanca  « Maarif »
Rabat,Local_Commercial,A Vendre,28.0,1000000.0,18/04/2026,Local commercial  2 pièces 28 m² Rabat  « Médina De Rabat »
Rabat,Local_Commercial,A Vendre,169.0,6422000.0,19/02/2026,Local commercial   169 m² Rabat  « Yacoub El Mansour »
Marrakech,Local_Commercial,A Vendre,34.0,980000.0,09/04/2026,Local commercial   34 m² Marrakech  « Sidi Youssef Ben Ali »
Marrakech,Local_Commercial,A Vendre,10.0,1400000.0,19/02/2026,Local commercial   10 m² Marrakech  « Massira 1 »
Tanger,Local_Commercial,A Vendre,2000.0,4500000.0,10/03/2026,Local commercial   2000 m² Tanger  « Iberie »
Meknès,Local_Commercial,A Vendre,30.0,320000.0,28/03/2026,Local commercial   30 m² Meknès  « Marjane 2 »
Oujda,Local_Commercial,A Vendre,176.0,1000000.0,22/04/2026,Local commercial  4 pièces 176 m² Oujda  « Najd »
Oujda,Local_Commercial,A Vendre,140.0,2500000.0,12/02/2026,Local commercial   140 m² Oujda
Kénitra,Local_Commercial,A Vendre,45.0,400000.0,16/04/2026,Local commercial   45 m² Kenitra  « Alliance »
Salé,Local_Commercial,A Vendre,26.0,450000.0,06/05/2026,Local commercial  2 pièces 26 m² Salé
Salé,Local_Commercial,A Vendre,90.0,0.0,19/03/2026,Local commercial   90 m² Salé  « Sala El Jadida »
Salé,Local_Commercial,A Vendre,110.0,2100000.0,12/02/2026,Local commercial   110 m² Salé
Mohammedia,Local_Commercial,A Vendre,84.0,620000.0,21/02/2026,Local commercial   84 m² Mohammedia  « Derb Lfath »
Settat,Local_Commercial,A Vendre,38.0,550000.0,30/04/2026,Local commercial   38 m² Nador
Rabat,Ferme,A Vendre,40000.0,3750000.0,10/04/2026,Ferme   40000 m² Rabat
Oujda,Ferme,A Vendre,80.0,600000.0,23/04/2026,Ferme  4 pièces 80 m² Oujda
Mohammedia,Ferme,A Vendre,80000.0,7800000.0,13/04/2026,Ferme   80000 m² Mohammedia
Mohammedia,Ferme,A Vendre,350.0,3400000.0,29/03/2026,Ferme  8 pièces 350 m² Mohammedia  « Zenata »
Taza,Ferme,A Vendre,150.0,500000.0,17/02/2026,Ferme   150 m² El jadida
